Date,Day,App_Name,Category,Minutes_Used
2026-07-31,Friday,Zoom,Communication,90
2026-07-31,Friday,Gemini,Education,70
2026-07-31,Friday,Instagram,Social Media,66
2026-07-31,Friday,Brave (Streaming),Entertainment,48
2026-07-31,Friday,GitHub,Coding,34
2026-07-31,Friday,YouTube,Entertainment,32
2026-07-31,Friday,LinkedIn,Social Media,25
2026-07-31,Friday,Google Docs,Productivity,18
2026-07-31,Friday,WhatsApp,Social Media,15
2026-07-31,Friday,Gmail,Productivity,11
2026-08-01,Saturday,Brave (Streaming),Entertainment,185
2026-08-01,Saturday,YouTube,Entertainment,162
2026-08-01,Saturday,ChatGPT,Education,126
2026-08-01,Saturday,VS Code,Coding,125
2026-08-01,Saturday,Brave (Research),Education,78
2026-08-01,Saturday,Claude,Education,59
2026-08-01,Saturday,Instagram,Social Media,57
2026-08-01,Saturday,Google Colab,Coding,56
2026-08-01,Saturday,GitHub,Coding,43
2026-08-01,Saturday,Gemini,Education,40
2026-08-01,Saturday,WhatsApp,Social Media,18
2026-08-01,Saturday,LinkedIn,Social Media,18
2026-08-01,Saturday,Gmail,Productivity,11
2026-08-02,Sunday,Brave (Streaming),Entertainment,204
2026-08-02,Sunday,ChatGPT,Education,190
2026-08-02,Sunday,YouTube,Entertainment,152
2026-08-02,Sunday,VS Code,Coding,115
2026-08-02,Sunday,Claude,Education,96
2026-08-02,Sunday,Brave (Research),Education,84
2026-08-02,Sunday,Instagram,Social Media,70
2026-08-02,Sunday,Gemini,Education,55
2026-08-02,Sunday,GitHub,Coding,50
2026-08-02,Sunday,LinkedIn,Social Media,30
2026-08-02,Sunday,WhatsApp,Social Media,11
2026-08-02,Sunday,Gmail,Productivity,11
2026-08-03,Monday,VS Code,Coding,299
2026-08-03,Monday,ChatGPT,Education,208
2026-08-03,Monday,Brave (Research),Education,178
2026-08-03,Monday,Claude,Education,109
2026-08-03,Monday,Zoom,Communication,90
2026-08-03,Monday,Gemini,Education,89
2026-08-03,Monday,Instagram,Social Media,56
2026-08-03,Monday,GitHub,Coding,48
2026-08-03,Monday,Brave (Streaming),Entertainment,36
2026-08-03,Monday,LinkedIn,Social Media,29
2026-08-03,Monday,YouTube,Entertainment,21
2026-08-03,Monday,WhatsApp,Social Media,18
2026-08-03,Monday,Gmail,Productivity,15
2026-08-04,Tuesday,VS Code,Coding,262
2026-08-04,Tuesday,ChatGPT,Education,189
2026-08-04,Tuesday,Claude,Education,86
2026-08-04,Tuesday,Brave (Research),Education,83
2026-08-04,Tuesday,Gemini,Education,76
2026-08-04,Tuesday,Instagram,Social Media,68
2026-08-04,Tuesday,Google Colab,Coding,67
2026-08-04,Tuesday,GitHub,Coding,46
2026-08-04,Tuesday,YouTube,Entertainment,35
2026-08-04,Tuesday,Brave (Streaming),Entertainment,31
2026-08-04,Tuesday,LinkedIn,Social Media,24
2026-08-04,Tuesday,Gmail,Productivity,17
2026-08-04,Tuesday,WhatsApp,Social Media,10
2026-08-05,Wednesday,VS Code,Coding,221
2026-08-05,Wednesday,ChatGPT,Education,210
2026-08-05,Wednesday,Brave (Research),Education,144
2026-08-05,Wednesday,Claude,Education,110
2026-08-05,Wednesday,Zoom,Communication,90
2026-08-05,Wednesday,Instagram,Social Media,62
2026-08-05,Wednesday,Gemini,Education,62
2026-08-05,Wednesday,GitHub,Coding,50
2026-08-05,Wednesday,Brave (Streaming),Entertainment,42
2026-08-05,Wednesday,LinkedIn,Social Media,27
2026-08-05,Wednesday,Google Docs,Productivity,21
2026-08-05,Wednesday,Gmail,Productivity,16
2026-08-05,Wednesday,YouTube,Entertainment,15
2026-08-05,Wednesday,WhatsApp,Social Media,10
2026-08-06,Thursday,VS Code,Coding,226
2026-08-06,Thursday,ChatGPT,Education,214
2026-08-06,Thursday,Brave (Research),Education,109
2026-08-06,Thursday,Claude,Education,91
2026-08-06,Thursday,GitHub,Coding,65
2026-08-06,Thursday,Instagram,Social Media,64
2026-08-06,Thursday,Gemini,Education,63
2026-08-06,Thursday,Brave (Streaming),Entertainment,53
2026-08-06,Thursday,Google Colab,Coding,51
2026-08-06,Thursday,LinkedIn,Social Media,33
2026-08-06,Thursday,YouTube,Entertainment,32
2026-08-06,Thursday,WhatsApp,Social Media,14
2026-08-06,Thursday,Gmail,Productivity,13
2026-08-07,Friday,VS Code,Coding,228
2026-08-07,Friday,ChatGPT,Education,215
2026-08-07,Friday,Claude,Education,114
2026-08-07,Friday,Brave (Research),Education,93
2026-08-07,Friday,Zoom,Communication,90
2026-08-07,Friday,Gemini,Education,62
2026-08-07,Friday,Instagram,Social Media,56
2026-08-07,Friday,GitHub,Coding,54
2026-08-07,Friday,YouTube,Entertainment,34
2026-08-07,Friday,Brave (Streaming),Entertainment,32
2026-08-07,Friday,LinkedIn,Social Media,30
2026-08-07,Friday,Gmail,Productivity,18
2026-08-07,Friday,WhatsApp,Social Media,17
2026-08-07,Friday,Google Docs,Productivity,16
2026-08-08,Saturday,Brave (Streaming),Entertainment,216
2026-08-08,Saturday,ChatGPT,Education,142
2026-08-08,Saturday,YouTube,Entertainment,140
2026-08-08,Saturday,VS Code,Coding,134
2026-08-08,Saturday,Brave (Research),Education,75
2026-08-08,Saturday,GitHub,Coding,69
2026-08-08,Saturday,Instagram,Social Media,67
2026-08-08,Saturday,Claude,Education,65
2026-08-08,Saturday,Gemini,Education,59
2026-08-08,Saturday,Google Colab,Coding,58
2026-08-08,Saturday,LinkedIn,Social Media,33
2026-08-08,Saturday,Gmail,Productivity,16
2026-08-08,Saturday,WhatsApp,Social Media,9
2026-08-09,Sunday,ChatGPT,Education,188
2026-08-09,Sunday,Brave (Streaming),Entertainment,159
2026-08-09,Sunday,Brave (Research),Education,123
2026-08-09,Sunday,VS Code,Coding,118
2026-08-09,Sunday,YouTube,Entertainment,101
2026-08-09,Sunday,Claude,Education,84
2026-08-09,Sunday,Gemini,Education,73
2026-08-09,Sunday,Instagram,Social Media,65
2026-08-09,Sunday,GitHub,Coding,63
2026-08-09,Sunday,LinkedIn,Social Media,28
2026-08-09,Sunday,Gmail,Productivity,14
2026-08-09,Sunday,WhatsApp,Social Media,11
2026-08-10,Monday,VS Code,Coding,282
2026-08-10,Monday,ChatGPT,Education,220
2026-08-10,Monday,Claude,Education,141
2026-08-10,Monday,Brave (Research),Education,122
2026-08-10,Monday,Zoom,Communication,90
2026-08-10,Monday,Gemini,Education,80
2026-08-10,Monday,GitHub,Coding,62
2026-08-10,Monday,Instagram,Social Media,58
2026-08-10,Monday,Brave (Streaming),Entertainment,41
2026-08-10,Monday,LinkedIn,Social Media,33
2026-08-10,Monday,YouTube,Entertainment,24
2026-08-10,Monday,Gmail,Productivity,15
2026-08-10,Monday,WhatsApp,Social Media,9
2026-08-11,Tuesday,VS Code,Coding,280
2026-08-11,Tuesday,ChatGPT,Education,236
2026-08-11,Tuesday,Brave (Research),Education,156
2026-08-11,Tuesday,Claude,Education,89
2026-08-11,Tuesday,Gemini,Education,85
2026-08-11,Tuesday,GitHub,Coding,78
2026-08-11,Tuesday,Instagram,Social Media,64
2026-08-11,Tuesday,Google Colab,Coding,58
2026-08-11,Tuesday,LinkedIn,Social Media,38
2026-08-11,Tuesday,Brave (Streaming),Entertainment,33
2026-08-11,Tuesday,YouTube,Entertainment,19
2026-08-11,Tuesday,Gmail,Productivity,18
2026-08-11,Tuesday,WhatsApp,Social Media,17
2026-08-11,Tuesday,Microsoft Teams,Communication,5
2026-08-12,Wednesday,VS Code,Coding,346
2026-08-12,Wednesday,ChatGPT,Education,242
2026-08-12,Wednesday,Brave (Research),Education,184
2026-08-12,Wednesday,Claude,Education,142
2026-08-12,Wednesday,Zoom,Communication,90
2026-08-12,Wednesday,Gemini,Education,86
2026-08-12,Wednesday,GitHub,Coding,75
2026-08-12,Wednesday,Instagram,Social Media,59
2026-08-12,Wednesday,Brave (Streaming),Entertainment,45
2026-08-12,Wednesday,LinkedIn,Social Media,36
2026-08-12,Wednesday,YouTube,Entertainment,23
2026-08-12,Wednesday,Gmail,Productivity,20
2026-08-12,Wednesday,Google Docs,Productivity,15
2026-08-12,Wednesday,WhatsApp,Social Media,12
2026-08-12,Wednesday,Microsoft Teams,Communication,8
2026-08-13,Thursday,VS Code,Coding,290
2026-08-13,Thursday,ChatGPT,Education,167
2026-08-13,Thursday,Brave (Research),Education,139
2026-08-13,Thursday,Claude,Education,98
2026-08-13,Thursday,GitHub,Coding,83
2026-08-13,Thursday,Gemini,Education,63
2026-08-13,Thursday,Instagram,Social Media,56
2026-08-13,Thursday,Google Colab,Coding,50
2026-08-13,Thursday,Brave (Streaming),Entertainment,43
2026-08-13,Thursday,LinkedIn,Social Media,38
2026-08-13,Thursday,YouTube,Entertainment,32
2026-08-13,Thursday,Gmail,Productivity,17
2026-08-13,Thursday,Microsoft Teams,Communication,10
2026-08-13,Thursday,WhatsApp,Social Media,8
2026-08-14,Friday,VS Code,Coding,246
2026-08-14,Friday,ChatGPT,Education,226
2026-08-14,Friday,Brave (Research),Education,122
2026-08-14,Friday,Claude,Education,99
2026-08-14,Friday,GitHub,Coding,91
2026-08-14,Friday,Zoom,Communication,90
2026-08-14,Friday,Gemini,Education,64
2026-08-14,Friday,Instagram,Social Media,56
2026-08-14,Friday,Brave (Streaming),Entertainment,41
2026-08-14,Friday,LinkedIn,Social Media,33
2026-08-14,Friday,Google Docs,Productivity,25
2026-08-14,Friday,YouTube,Entertainment,21
2026-08-14,Friday,Gmail,Productivity,15
2026-08-14,Friday,WhatsApp,Social Media,13
2026-08-15,Saturday,Brave (Streaming),Entertainment,172
2026-08-15,Saturday,YouTube,Entertainment,142
2026-08-15,Saturday,ChatGPT,Education,131
2026-08-15,Saturday,VS Code,Coding,112
2026-08-15,Saturday,Brave (Research),Education,79
2026-08-15,Saturday,Claude,Education,75
2026-08-15,Saturday,Instagram,Social Media,66
2026-08-15,Saturday,Gemini,Education,65
2026-08-15,Saturday,GitHub,Coding,65
2026-08-15,Saturday,Google Colab,Coding,63
2026-08-15,Saturday,LinkedIn,Social Media,43
2026-08-15,Saturday,WhatsApp,Social Media,16
2026-08-15,Saturday,Gmail,Productivity,12
2026-08-16,Sunday,Brave (Streaming),Entertainment,208
2026-08-16,Sunday,ChatGPT,Education,161
2026-08-16,Sunday,YouTube,Entertainment,144
2026-08-16,Sunday,Claude,Education,104
2026-08-16,Sunday,Brave (Research),Education,93
2026-08-16,Sunday,VS Code,Coding,88
2026-08-16,Sunday,Gemini,Education,83
2026-08-16,Sunday,GitHub,Coding,74
2026-08-16,Sunday,Instagram,Social Media,62
2026-08-16,Sunday,LinkedIn,Social Media,36
2026-08-16,Sunday,Gmail,Productivity,17
2026-08-16,Sunday,WhatsApp,Social Media,12
